,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4
mr,1.8509331440341427E-4,4.278923761333858E-4,2.096073710321926E-4,6.148081703041545E-4,6.303089335916687E-4,3.244614750667579E-5,0.0033735691146649124,8.90177214119096E-4,2.5051891020607927E-4,1.7761894696831102E-5
ms,2.6069480901889334E-6,4.7021140234438E-6,6.219497402758503E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.7266172124404146E-5,4.9181061553541216E-6,6.110217322099495E-6,1.9538084166514214E-4
mtg,2.867642899207827E-5,4.7021140234438E-6,0.0016184437992813562,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,5.205360132840791E-5,4.9181061553541216E-6,6.110217322099495E-6,0.001261094523475008
much,0.0018014011303205527,0.001227251760118832,0.0028554709070123287,0.002065908199593463,0.0012567029048628922,3.244614750667579E-5,0.0020102605084447054,0.002070522691404085,6.17131949532049E-4,1.7761894696831102E-5
mullen,2.6069480901889334E-6,4.7021140234438E-6,7.215991461764009E-5,3.818684287603444E-6,1.2136383193379956E-4,3.244614750667579E-5,3.247153225724493E-4,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
multilater,4.7185760432419697E-4,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,4.306458552489662E-5,3.244614750667579E-5,7.684103053241167E-5,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
multin,2.3723227620719292E-4,4.7021140234438E-6,3.4361864103638136E-6,1.1837921291570675E-4,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
multipl,5.4745909893967604E-5,4.7021140234438E-6,7.215991461764009E-5,1.1837921291570675E-4,3.9149623204451475E-6,3.244614750667579E-5,7.684103053241167E-5,1.0328022926243655E-4,4.338254298690641E-4,1.7761894696831102E-5
murder,1.0688487169774627E-4,1.927866749611958E-4,1.0652177872127821E-4,3.818684287603444E-6,3.9541119436495986E-4,3.244614750667579E-5,2.4787429204003767E-6,2.5082341392306017E-4,0.002694605839045877,1.7761894696831102E-5
murdoch,2.6069480901889334E-6,9.874439449231981E-5,3.4361864103638136E-6,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,5.459097832443074E-4,6.110217322099495E-6,1.7761894696831102E-5
murtha,2.6069480901889334E-6,4.7021140234438E-6,7.215991461764009E-5,4.2387395592398224E-4,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
museum,2.6069480901889334E-6,5.172325425788181E-5,3.4361864103638136E-6,3.818684287603444E-6,8.221420872934809E-5,3.244614750667579E-5,2.4787429204003767E-6,3.000044754766014E-4,6.110217322099495E-6,7.282376825700751E-4
music,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,1.947528986677756E-4,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.721239054309445E-5,1.7761894696831102E-5
muslim,3.675796807166396E-4,3.338500956645098E-4,7.215991461764009E-5,3.818684287603444E-6,0.002509490847405339,3.244614750667579E-5,2.4787429204003767E-6,5.409916770889534E-5,0.0012892558549629934,1.9538084166514214E-4
must,0.0023488602292602288,3.338500956645098E-4,3.8141669155038324E-4,4.2387395592398224E-4,0.001413301397680698,3.244614750667579E-5,7.708890482445172E-4,9.393582756726372E-4,3.7272325664806916E-4,1.7761894696831102E-5
mutual,2.893712380109716E-4,4.7021140234438E-6,3.779805051400195E-5,4.2005527163637885E-5,2.779623247516054E-4,3.244614750667579E-5,2.9992789336844554E-4,1.0328022926243655E-4,6.110217322099495E-6,1.7761894696831102E-5
myth,1.8509331440341427E-4,1.457655347267578E-4,3.4361864103638136E-6,3.818684287603444E-6,4.306458552489662E-5,3.244614750667579E-5,2.7266172124404146E-5,2.5082341392306017E-4,6.721239054309445E-5,1.7761894696831102E-5
name,2.3723227620719292E-4,0.001462357461291022,8.624827890013172E-4,7.675555418082922E-4,8.652066728183776E-4,3.244614750667579E-5,8.452513358565284E-4,0.0012344446449938844,9.837449888580188E-4,1.7761894696831102E-5
nanci,2.6069480901889334E-6,9.874439449231981E-5,1.7524550692855445E-4,5.00247641676051E-4,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,1.0328022926243655E-4,6.110217322099495E-6,1.7761894696831102E-5
narr,1.5902383350152493E-4,4.7021140234438E-6,1.4088364282491633E-4,0.0010730502848165678,8.221420872934809E-5,3.244614750667579E-5,1.264158889404192E-4,4.9181061553541216E-6,6.110217322099495E-6,1.7761894696831102E-5
narrow,2.111627953053036E-4,2.868289554300718E-4,3.779805051400195E-5,4.2005527163637885E-5,8.221420872934809E-5,3.244614750667579E-5,1.0162845973641542E-4,5.409916770889534E-5,1.8941673698508435E-4,1.7761894696831102E-5
natalegawa,5.4745909893967604E-5,4.7021140234438E-6,7.215991461764009E-5,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,6.110217322099495E-6,5.506187356017642E-4
nation,0.006181073921837961,0.004612773856998368,2.096073710321926E-4,0.0014931055564529464,0.0025486404706097903,3.244614750667579E-5,0.0032496319686448937,0.0032016871071355326,0.001961379760393938,0.0030372839931581187
nationalist,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,2.779623247516054E-4,3.244614750667579E-5,2.4787429204003767E-6,5.459097832443074E-4,1.8941673698508435E-4,1.7761894696831102E-5
nato,8.889692987544263E-4,4.7021140234438E-6,3.8141669155038324E-4,3.818684287603444E-6,4.306458552489662E-5,3.244614750667579E-5,5.230147562044795E-4,4.9181061553541216E-6,6.110217322099495E-6,1.9538084166514214E-4
natur,6.804134515393116E-4,2.398078151956338E-4,3.779805051400195E-5,1.5656605579174117E-4,5.911593103872172E-4,3.244614750667579E-5,3.4950275177645306E-4,3.000044754766014E-4,6.110217322099495E-6,1.7761894696831102E-5
navi,2.867642899207827E-5,4.7021140234438E-6,3.779805051400195E-5,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.7266172124404146E-5,4.9181061553541216E-6,9.226428156370237E-4,1.7761894696831102E-5
nazi,2.6069480901889334E-6,8.040614980088899E-4,3.4361864103638136E-6,3.818684287603444E-6,1.6051345513825102E-4,3.244614750667579E-5,7.684103053241167E-5,4.9181061553541216E-6,1.8941673698508435E-4,1.7761894696831102E-5
nbc,2.6069480901889334E-6,4.7021140234438E-6,7.215991461764009E-5,3.818684287603444E-6,4.306458552489662E-5,3.244614750667579E-5,1.0162845973641542E-4,5.409916770889534E-5,1.283145637640894E-4,1.7761894696831102E-5
nea,5.4745909893967604E-5,4.7021140234438E-6,1.7524550692855445E-4,3.818684287603444E-6,3.9149623204451475E-6,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,1.283145637640894E-4,3.7299978863345314E-4
near,1.329543525996356E-4,5.172325425788181E-5,1.7524550692855445E-4,2.3293974154381004E-4,3.5626157116050834E-4,3.244614750667579E-5,1.264158889404192E-4,4.47547660137225E-4,3.7272325664806916E-4,3.7299978863345314E-4
nearli,1.5902383350152493E-4,7.570403577744519E-4,3.4361864103638136E-6,6.148081703041545E-4,4.306458552489662E-5,3.244614750667579E-5,4.2386503938846444E-4,7.426340294584723E-4,5.56029776311054E-4,1.7761894696831102E-5
necessari,4.197186425204183E-4,1.457655347267578E-4,3.4705482744674514E-4,1.1837921291570675E-4,8.221420872934809E-5,3.244614750667579E-5,3.4950275177645306E-4,1.5246129081597775E-4,6.721239054309445E-5,1.7761894696831102E-5
need,0.005138294685762388,7.570403577744519E-4,0.0053295251224742745,0.002447776628353807,0.0021179946153608246,3.244614750667579E-5,0.0020102605084447054,0.002021341629850544,3.7272325664806916E-4,5.506187356017642E-4
neg,2.6069480901889335E-7,4.7021140234438007E-7,3.4361864103638133E-7,3.8186842876034435E-7,3.914962320445147E-7,3.2446147506675794E-6,4.959964583721154E-4,2.9557817993678266E-4,1.8391754139519478E-4,1.7761894696831101E-6
negoti,8.368303369506477E-4,2.398078151956338E-4,4.157785556540214E-4,0.0010348634419405332,0.004075475775583398,3.244614750667579E-5,0.0012914250615285961,4.47547660137225E-4,3.7272325664806916E-4,1.9538084166514214E-4
neighbor,1.5902383350152493E-4,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,1.6051345513825102E-4,3.244614750667579E-5,2.4787429204003767E-6,4.9181061553541216E-6,2.5051891020607927E-4,1.7761894696831102E-5
neighborhood,2.6069480901889334E-6,4.7021140234438E-6,3.4361864103638136E-6,3.818684287603444E-6,5.520096871827657E-4,3.244614750667579E-5,2.7266172124404146E-5,2.5082341392306017E-4,4.338254298690641E-4,1.7761894696831102E-5
