,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6
afghanistan,2.9268042399595154E-4,0.0013150700056256865,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,6.079970328598896E-4,0.0033509728858955763,6.624306435116243E-7,1.3199716998067561E-6,0.0010190508007773508,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
afp,1.4636459796898025E-4,6.572063996130369E-7,9.684672481985152E-4,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.0304859796611746E-8,8.006853619665098E-5,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
africa,3.4145236600494197E-4,6.572063996130369E-7,0.002903466745098646,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.7519292140219628E-4,6.862151464555428E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,0.008639604256887498,2.0747868420790814E-4
african,4.882071395099941E-5,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.6488806160558454E-4,1.7156236416025728E-4,0.003975246291713258,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
aftermath,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.06200244530201E-5,1.3725217867390492E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
afternoon,0.002633733640427492,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.7824151936831375E-4,1.1436728495450789E-8,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0747868420790814E-4
afterward,4.8771942008990424E-8,6.572063996130369E-7,0.0019359669966485806,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,1.133637626225258E-4,3.4321622214847814E-5,6.624306435116243E-7,0.002641263371313319,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
age,4.8771942008990424E-8,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.7824151936831375E-4,1.486889071693557E-4,6.624306435116243E-7,1.3199716998067561E-6,0.0015283215657835231,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
agenc,1.4636459796898025E-4,0.0013150700056256865,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,2.0610750079203154E-4,7.090886034464444E-4,6.624306435116243E-7,1.3199716998067561E-6,5.092707650061723E-7,5.354488560670639E-7,1.4396940937989497E-6,2.0727141279511305E-7
agenda,4.3899625002292276E-4,6.572063996130369E-7,9.674997484500652E-7,2.490292838515467E-7,3.6608688266768974E-7,1.201068470511367E-6,5.873873132666661E-4,3.431132915920191E-4,6.624306435116243E-7,1.3199716998067561E-6,0.0010190508007773508,0.0010714331609901948,1.4396940937989497E-6,2.0727141279511305E-7
